,Name,Genre,Year,Duration,Average_Rating,Num_of_Rating
123,124. Bicycle Thieves,Financial Drama,1948,1h 29m,8.2, (188K)
124,125. Downfall,War,2004,2h 36m,8.2, (392K)
125,126. Dangal,Sport,2016,2h 41m,8.3, (231K)
126,127. The Wolf of Wall Street,Drama,2013,3h,8.2, (1.7M)
127,128. The Chaos Class Failed the Class,Comedy,1975,1h 35m,8.6, (28K)
128,129. Green Book,Music,2018,2h 10m,8.2, (651K)
129,130. Hamilton,Musical,2020,2h 40m,8.3, (132K)
130,131. The Truman Show,Drama,1998,1h 43m,8.2, (1.3M)
131,132. Taxi Driver,Drama,1976,1h 54m,8.2, (994K)
132,133. Batman Begins,Thriller,2005,2h 20m,8.2, (1.7M)
133,134. For a Few Dollars More,Western,1965,2h 12m,8.2, (293K)
134,135. Judgment at Nuremberg,War,1961,2h 59m,8.3, (93K)
135,136. Shutter Island,Thriller,2010,2h 18m,8.2, (1.6M)
136,137. Some Like It Hot,Romance,1959,2h 1m,8.2, (298K)
137,138. Jurassic Park,Thriller,1993,2h 7m,8.2, (1.1M)
138,139. The Kid,Family,1921,1h 8m,8.2, (143K)
139,140. The Father,Mystery,2020,1h 37m,8.2, (218K)
140,141. All About Eve,Drama,1950,2h 18m,8.2, (146K)
